#TYPE System.Management.Automation.PSCustomObject
"adminConsentDescription","adminConsentDisplayName","id","isEnabled","type","userConsentDescription","userConsentDisplayName","value"
"Allows the app to read your organization's user flows, on behalf of the signed-in user.","Read all identity user flows","2903d63d-4611-4d43-99ce-a33f3f52e343","True","Admin","Allows the app to read your organization's user flows, on your behalf.","Read all identity user flows","IdentityUserFlow.Read.All"
"Allows the app to read or write your organization's user flows, on behalf of the signed-in user.","Read and write all identity user flows","281892cc-4dbf-4e3a-b6cc-b21029bb4e82","True","Admin","Allows the app to read or write your organization's user flows, on your behalf.","Read and write all identity user flows","IdentityUserFlow.ReadWrite.All"
"Allows the app to read all organizational contacts on behalf of the signed-in user. ?These contacts are managed by the organization and are different from a user's personal contacts.","Read organizational contacts","08432d1b-5911-483c-86df-7980af5cdee0","True","Admin","Allows the app to read all organizational contacts on your behalf.? These contacts are managed by the organization and are different from your personal contacts.","Read organizational contacts","OrgContact.Read.All"
"Allows the app to manage permission grants for application permissions to any API (including Microsoft Graph) and application assignments for any app, on behalf of the signed-in user.","Manage app permission grants and app role assignments","84bccea3-f856-4a8a-967b-dbe0a3d53a64","True","Admin","Allows the app to manage permission grants for application permissions to any API (including Microsoft Graph) and application assignments for any app, on your behalf.","Manage app permission grants and app role assignments","AppRoleAssignment.ReadWrite.All"
"Allows the app to manage permission grants for delegated permissions exposed by any API (including Microsoft Graph), on behalf of the signed in user.","Manage all delegated permission grants","41ce6ca6-6826-4807-84f1-1c82854f7ee5","True","Admin","Allows the app to manage permission grants for delegated permissions exposed by any API (including Microsoft Graph), on your behalf. ","Manage all delegated permission grants","DelegatedPermissionGrant.ReadWrite.All"
"Allows the app to read online meeting details on behalf of the signed-in user.","Read user's online meetings","9be106e1-f4e3-4df5-bdff-e4bc531cbe43","True","User","Allows the app to read online meeting details on your behalf.","Read your online meetings","OnlineMeetings.Read"
"Allows the app to read and create online meetings on behalf of the signed-in user.","Read and create user's online meetings","a65f2972-a4f8-4f5e-afd7-69ccb046d5dc","True","User","Allows the app to read and create online meetings on your behalf.","Read and create your online meetings","OnlineMeetings.ReadWrite"
"Allows the app to read the signed-in user's teamwork activity feed.","Read user's teamwork activity feed","0e755559-83fb-4b44-91d0-4cc721b9323e","True","User","Allows the app to read your teamwork activity feed.","Read your teamwork activity feed","TeamsActivity.Read"
"Allows the app to request and manage time-based assignment and just-in-time elevation of user privileges to manage Azure resources (like subscriptions, resource groups, storage, compute) on behalf of the signed-in users.","Read and write privileged access to Azure resources","a84a9652-ffd3-496e-a991-22ba5529156a","True","Admin","Allows the app to request and manage time-based assignment and just-in-time elevation of user privileges to manage ?your Azure resources (like your subscriptions, resource groups, storage, compute) on your behalf.","Read and write privileged access to Azure resources","PrivilegedAccess.ReadWrite.AzureResources"
"Allows the app to read time-based assignment and just-in-time elevation (including scheduled elevation) of Azure AD built-in and custom administrative roles, on behalf of the signed-in user.","Read privileged access to Azure AD","b3a539c9-59cb-4ad5-825a-041ddbdc2bdb","True","Admin","Allows the app to read time-based assignment and just-in-time elevation (including scheduled elevation) of Azure AD built-in and custom administrative roles, on your behalf.","Read privileged access to Azure AD","PrivilegedAccess.Read.AzureAD"
"Allows the app to read time-based assignment and just-in-time elevation (including scheduled elevation) of Azure AD groups, on behalf of the signed-in user.","Read privileged access to Azure AD groups","d329c81c-20ad-4772-abf9-3f6fdb7e5988","True","Admin","Allows the app to read time-based assignment and just-in-time elevation (including scheduled elevation) of Azure AD groups, on your behalf.","Read privileged access to Azure AD groups","PrivilegedAccess.Read.AzureADGroup"
"Allows the app to read time-based assignment and just-in-time elevation of Azure resources (like your subscriptions, resource groups, storage, compute) on behalf of the signed-in user.","Read privileged access to Azure resources","1d89d70c-dcac-4248-b214-903c457af83a","True","Admin","Allows the app to read time-based assignment and just-in-time elevation of Azure resources (like your subscriptions, resource groups, storage, compute) on your behalf.","Read privileged access to your Azure resources","PrivilegedAccess.Read.AzureResources"
"Allows the app to request and manage time-based assignment and just-in-time elevation (including scheduled elevation) of Azure AD groups, on behalf of the signed-in user.","Read and write privileged access to Azure AD groups","32531c59-1f32-461f-b8df-6f8a3b89f73b","True","Admin","Allows the app to request and manage time-based assignment and just-in-time elevation (including scheduled elevation) of Azure AD groups, on your behalf.","Read and write privileged access to Azure AD groups","PrivilegedAccess.ReadWrite.AzureADGroup"
"Allows the app to read all the indicators for your organization, on behalf of the signed-in user.","Read all threat indicators","9cc427b4-2004-41c5-aa22-757b755e9796","True","Admin","Allows the app to read all the indicators for your organization, on your behalf.","Read all threat indicators","ThreatIndicators.Read.All"
"Allow the app to read external datasets and content, on behalf of the signed-in user.","Read items in external datasets","922f9392-b1b7-483c-a4be-0089be7704fb","True","Admin","Allows the app to read external datasets and content that you have access to.","Read items in external datasets","ExternalItem.Read.All"
"Allows an app to edit channel messages in Microsoft Teams, on behalf of the signed-in user.","Edit user's channel messages","2b61aa8a-6d36-4b2f-ac7b-f29867937c53","True","User","Allows the app to edit channel messages in Microsoft Teams, on your behalf.","Edit your channel messages","ChannelMessage.Edit"
"Allows an app to send channel messages in Microsoft Teams, on behalf of the signed-in user.","Send channel messages","ebf0f66e-9fb1-49e4-a278-222f76911cf4","True","User","Allows the app to send channel messages in Microsoft Teams, on your behalf.","Send channel messages","ChannelMessage.Send"
"Allows the app to manage organization places (conference rooms and room lists) for calendar events and other applications, on behalf of the signed-in user.","Read and write organization places","4c06a06a-098a-4063-868e-5dfee3827264","True","Admin","Allows the app to manage organization places (conference rooms and room lists) for calendar events and other applications, on your behalf.","Read and write organization places","Place.ReadWrite.All"
"Allows the app to request access to and management of access packages and related entitlement management resources on behalf of the signed-in user.","Read and write entitlement management resources","ae7a573d-81d7-432b-ad44-4ed5c9d89038","True","Admin","Allows the app to request access to and management of access packages and related entitlement management resources that you have access to.","Read and write entitlement management resources","EntitlementManagement.ReadWrite.All"
"Allows the app to send, read, update and delete user?s notifications.","Deliver and manage user's notifications","26e2f3e8-b2a1-47fc-9620-89bb5b042024","True","User","Allows the app to send, read, update and delete your app-specific notifications.","Deliver and manage your notifications","UserNotification.ReadWrite.CreatedByApp"
"Allows the app to read applications and service principals on behalf of the signed-in user.","Read applications","c79f8feb-a9db-4090-85f9-90d820caa0eb","True","Admin","Allows the app to read applications and service principals on your behalf.","Read applications","Application.Read.All"
"Allows the app to create, read, update and delete applications and service principals on behalf of the signed-in user. Does not allow management of consent grants.","Read and write all applications","bdfbf15f-ee85-4955-8675-146e8e5296b5","True","Admin","Allows the app to create, read, update and delete applications and service principals on your behalf. Does not allow management of consent grants.","Read and write applications","Application.ReadWrite.All"
"Allows the app to read BitLocker keys on behalf of the signed-in user, for their owned devices. Allows read of the recovery key.","Read BitLocker keys","b27a61ec-b99c-4d6a-b126-c4375d08ae30","True","Admin","Allows the app to read BitLocker keys for your owned devices. Allows read of the recovery key.","Read your BitLocker keys","BitlockerKey.Read.All"
"Allows the app to read basic BitLocker key properties on behalf of the signed-in user, for their owned devices. Does not allow read of the recovery key itself.","Read BitLocker keys basic information","5a107bfc-4f00-4e1a-b67e-66451267bc68","True","Admin","Allows the app to read basic BitLocker key properties for your owned devices. Does not allow read of the recovery key itself.","Read your BitLocker keys basic information","BitlockerKey.ReadBasic.All"
"Allows the app to list groups, read basic group properties and read membership of all groups the signed-in user has access to.","Read group memberships","bc024368-1153-4739-b217-4326f2e966d0","True","Admin","Allows the app to list groups, read basic group properties and read membership of all your groups.","Read group memberships","GroupMember.Read.All"
"Allows the app to list groups, read basic properties, read and update the membership of the groups the signed-in user has access to. Group properties and owners cannot be updated and groups cannot be deleted.","Read and write group memberships","f81125ac-d3b7-4573-a3b2-7099cc39df9e","True","Admin","Allows the app to list groups, read basic properties, read and update the membership of your groups. Group properties and owners cannot be updated and groups cannot be deleted.","Read and write group memberships","GroupMember.ReadWrite.All"
"Allows an app to read your organization's threat assessment requests on behalf of the signed-in user. Also allows the app to create new requests to assess threats received by your organization on behalf of the signed-in user.","Read and write threat assessment requests","cac97e40-6730-457d-ad8d-4852fddab7ad","True","Admin","Allows an app to read your organization's threat assessment requests on your behalf. Also allows the app to create new requests to assess threats received by your organization on your behalf.","Read and write threat assessment requests","ThreatAssessment.ReadWrite.All"
"Allows the app to read schedule, schedule groups, shifts and associated entities in the Teams or Shifts application on behalf of the signed-in user.","Read user schedule items","fccf6dd8-5706-49fa-811f-69e2e1b585d0","True","Admin","Allows the app to read schedule, schedule groups, shifts and associated entities in the Teams or Shifts application on your behalf.","Read your schedule items","Schedule.Read.All"
"Allows the app to manage schedule, schedule groups, shifts and associated entities in the Teams or Shifts application on behalf of the signed-in user.","Read and write user schedule items","63f27281-c9d9-4f29-94dd-6942f7f1feb0","True","Admin","Allows the app to manage schedule, schedule groups, shifts and associated entities in the Teams or Shifts application on your behalf.","Read and write your schedule items","Schedule.ReadWrite.All"
" Allows the app to read and write authentication methods of all users in your organization that the signed-in user has access to.                       Authentication methods include things like a user?s phone numbers and Authenticator app settings. This                      does not allow the app to see secret information like passwords, or to sign-in or otherwise use the authentication methods.","Read and write all users' authentication methods.","b7887744-6746-4312-813d-72daeaee7e2d","True","Admin","Allows the app to read and write authentication methods of all users you have access to in your organization.                       Authentication methods include things like a user?s phone numbers and Authenticator app settings. This does not allow                      the app to see secret information like passwords, or to sign-in or otherwise use the authentication methods.","Read and write all users' authentication methods","UserAuthenticationMethod.ReadWrite.All"
"Allows the app to read and write the signed-in user's authentication methods, including phone numbers and Authenticator app settings.                       This does not allow the app to see secret information like the signed-in user's passwords, or                      to sign-in or otherwise use the signed-in user's authentication methods.  ","Read and write user authentication methods","48971fc1-70d7-4245-af77-0beb29b53ee2","True","Admin","Allows the app to read and write your authentication methods, including phone numbers and Authenticator app settings.This does not allow the app to see secret information like your passwords, or to sign-in or otherwise use your authentication methods.","Read and write your authentication methods","UserAuthenticationMethod.ReadWrite"
"Allows the app to read authentication methods of all users in your organization that the signed-in user has access to. Authentication methods include things like a user?s phone numbers and Authenticator app settings. This does not allow the app to see secret information like passwords, or to sign-in or otherwise use the authentication methods.","Read all users' authentication methods","aec28ec7-4d02-4e8c-b864-50163aea77eb","True","Admin","Allows the app to read authentication methods of all users you have access to in your organization. Authentication methods include things like a user?s phone numbers and Authenticator app settings. This does not allow the app to see secret information like passwords, or to sign-in or otherwise use the authentication methods.","Read all users' authentication methods","UserAuthenticationMethod.Read.All"
"Allows the app to read the signed-in user's authentication methods, including phone numbers and Authenticator app settings. This does not allow the app to see secret information like the signed-in user's passwords, or to sign-in  or otherwise use the signed-in user's authentication methods.","Read user authentication methods.","1f6b61c5-2f65-4135-9c9f-31c0f8d32b52","True","Admin","Allows the app to read your authentication methods, including phone numbers and Authenticator app settings. This does not allow the app to see secret information like your passwords, or to sign-in or otherwise use your authentication methods.","Read your authentication methods.","UserAuthenticationMethod.Read"
"Allows the app to create tabs in any team in Microsoft Teams, on behalf of the signed-in user. This does not grant the ability to read, modify or delete tabs after they are created, or give access to the content inside the tabs.","Create tabs in Microsoft Teams.","a9ff19c2-f369-4a95-9a25-ba9d460efc8e","True","Admin","Allows the app to create tabs in any team in Microsoft Teams, on your behalf. This does not grant the ability to read, modify or delete tabs after they are created, or give access to the content inside the tabs.","Create tabs in Microsoft Teams.","TeamsTab.Create"
"Read the names and settings of tabs inside any team in Microsoft Teams, on behalf of the signed-in user. This does not give access to the content inside the tabs.","Read tabs in Microsoft Teams.","59dacb05-e88d-4c13-a684-59f1afc8cc98","True","Admin","Read the names and settings of tabs inside any team in Microsoft Teams, on your behalf. This does not give access to the content inside the tabs.","Read tabs in Microsoft Teams.","TeamsTab.Read.All"
"Read and write tabs in any team in Microsoft Teams, on behalf of the signed-in user. This does not give access to the content inside the tabs.","Read and write tabs in Microsoft Teams.","b98bfd41-87c6-45cc-b104-e2de4f0dafb9","True","Admin","Read and write tabs in any team in Microsoft Teams, on your behalf. This does not give access to the content inside the tabs.","Read and write tabs in Microsoft Teams.","TeamsTab.ReadWrite.All"
"Allows the app to have the same access to mailboxes as the signed-in user via IMAP protocol.","Read and write access to mailboxes via IMAP.","652390e4-393a-48de-9484-05f9b1212954","True","User","Allows the app to read, update, create and delete email in your mailbox. Does not include permission to send mail.","Read and write access to your mail.","IMAP.AccessAsUser.All"
"Allows the app to have the same access to mailboxes as the signed-in user via POP protocol.","Read and write access to mailboxes via POP.","d7b7f2d9-0f45-4ea1-9d42-e50810c06991","True","User","Allows the app to read, update, create and delete email in your mailbox. Does not include permission to send mail.","Read and write access to your mail.","POP.AccessAsUser.All"
"Allows the app to be able to send emails from the user?s mailbox using the SMTP AUTH client submission protocol.","Send emails from mailboxes using SMTP AUTH.","258f6531-6087-4cc4-bb90-092c5fb3ed3f","True","User","Allows the app to send emails on your behalf from your mailbox.","Access to sending emails from your mailbox.","SMTP.Send"
"Allows the app to read all domain properties on behalf of the signed-in user.","Read domains.","2f9ee017-59c1-4f1d-9472-bd5529a7b311","True","Admin","Allows the app to read all domain properties on your behalf.","Read domains.","Domain.Read.All"
"Allows the app to read and write all domain properties on behalf of the signed-in user. Also allows the app to add, verify and remove domains.","Read and write domains","0b5d694c-a244-4bde-86e6-eb5cd07730fe","True","Admin","Allows the app to read and write all domain properties on your behalf. Also allows the app to add, verify and remove domains.","Read and write domains","Domain.ReadWrite.All"
"Allows the app to read and write your organization's application configuration policies on behalf of the signed-in user.  This includes policies such as activityBasedTimeoutPolicy, claimsMappingPolicy, homeRealmDiscoveryPolicy,  tokenIssuancePolicy and tokenLifetimePolicy.","Read and write your organization's application configuration policies","b27add92-efb2-4f16-84f5-8108ba77985c","True","Admin","Allows the app to read and write your organization's application configuration policies on your behalf.  This includes policies such as activityBasedTimeoutPolicy, claimsMappingPolicy, homeRealmDiscoveryPolicy, tokenIssuancePolicy  and tokenLifetimePolicy.","Read and write your organization's application configuration policies","Policy.ReadWrite.ApplicationConfiguration"
"Allows the app to read your organization's devices' configuration information on behalf of the signed-in user.","Read all devices","951183d1-1a61-466f-a6d1-1fde911bfd95","True","Admin","Allows the app to read devices' configuration information on your behalf.","Read all devices","Device.Read.All"
"Allows the app to read, update and delete identities that are associated with a user's account that the signed-in user has access to. This controls the identities users can sign-in with.","Manage  user identities","637d7bec-b31e-4deb-acc9-24275642a2c9","True","Admin","Allows the app to read, update and delete identities that are associated with a user's account that you have access to. This controls the identities users can sign-in with.","Manage  user identities","User.ManageIdentities.All"
"Allows the app to read access packages and related entitlement management resources on behalf of the signed-in user.","Read all entitlement management resources","5449aa12-1393-4ea2-a7c7-d0e06c1a56b2","True","Admin","Allows the app to read access packages and related entitlement management resources that you have access to.","Read all entitlement management resources","EntitlementManagement.Read.All"
"Create channels in any team, on behalf of the signed-in user.","Create channels","101147cf-4178-4455-9d58-02b5c164e759","True","Admin","Create channels in any team, on your behalf.","Create channels","Channel.Create"
"Delete channels in any team, on behalf of the signed-in user.","Delete channels","cc83893a-e232-4723-b5af-bd0b01bcfe65","True","Admin","Delete channels in any team, on your behalf.","Delete channels","Channel.Delete.All"
"Read all channel names, channel descriptions, and channel settings, on behalf of the signed-in user.","Read the names, descriptions, and settings of channels","233e0cf1-dd62-48bc-b65b-b38fe87fcf8e","True","Admin","Read all channel names, channel descriptions, and channel settings, on your behalf.","Read the names, descriptions, and settings of channels","ChannelSettings.Read.All"
"Read and write the names, descriptions, and settings of all channels, on behalf of the signed-in user.","Read and write the names, descriptions, and settings of channels","d649fb7c-72b4-4eec-b2b4-b15acf79e378","True","Admin","Read and write the names, descriptions, and settings of all channels, on your behalf.","Read and write the names, descriptions, and settings of channels","ChannelSettings.ReadWrite.All"
"Allows the app to read all webhook subscriptions on behalf of the signed-in user.","Read all webhook subscriptions ","5f88184c-80bb-4d52-9ff2-757288b2e9b7","True","Admin","Allows the app to read all webhook subscriptions on your behalf.","Read all webhook subscriptions ","Subscription.Read.All"
"Read the names and  descriptions of teams, on behalf of the signed-in user.","Read the names and descriptions of teams","485be79e-c497-4b35-9400-0e3fa7f2a5d4","True","User","Read the names and  descriptions of teams, on your behalf.","Read the names and descriptions of teams","Team.ReadBasic.All"
"Read channel names and channel descriptions, on behalf of the signed-in user.","Read the names and descriptions of channels","9d8982ae-4365-4f57-95e9-d6032a4c0b87","True","User","Read channel names and channel descriptions, on your behalf.","Read the names and descriptions of channels","Channel.ReadBasic.All"
"Read all teams' settings, on behalf of the signed-in user.","Read teams' settings","48638b3c-ad68-4383-8ac4-e6880ee6ca57","True","Admin","Read all teams' settings, on your behalf.","Read teams' settings","TeamSettings.Read.All"
"Read and change all teams' settings, on behalf of the signed-in user.","Read and change teams' settings","39d65650-9d3e-4223-80db-a335590d027e","True","Admin","Read and change all teams' settings, on your behalf.","Read and change teams' settings","TeamSettings.ReadWrite.All"
"Allows the app to read approvals on behalf of the signed-in user.","Read approvals","1196552e-b226-4363-b01e-b8901fe10a11","True","Admin","Allows the app to read approvals on your behalf.","Read approvals","Approval.Read.All"
"Allows the app to read and write approvals on behalf of the signed-in user.","Read and write approvals","1d3d0bc7-4b3a-427a-ae9f-6de4e1edc95f","True","Admin","Allows the app to read and write approvals on your behalf.","Read and write approvals","Approval.ReadWrite.All"
"Read the members of teams, on behalf of the signed-in user.","Read the members of teams","2497278c-d82d-46a2-b1ce-39d4cdde5570","True","Admin","Read the members of teams, on your behalf.","Read the members of teams","TeamMember.Read.All"
"Add and remove members from teams, on behalf of the signed-in user. Also allows changing a member's role, for example from owner to non-owner.","Add and remove members from teams","4a06efd2-f825-4e34-813e-82a57b03d1ee","True","Admin","Add and remove members from teams, on your behalf. Also allows changing a member's role, for example from owner to non-owner.","Add and remove members from teams and channels","TeamMember.ReadWrite.All"
"Allows the app to read consent requests and approvals on behalf of the signed-in user.","Read consent requests","f3bfad56-966e-4590-a536-82ecf548ac1e","True","Admin","Allows the app to read consent requests and approvals, on your behalf.","Read consent requests","ConsentRequest.Read.All"
"Allows the app to read app consent requests and approvals, and deny or approve those requests on behalf of the signed-in user.","Read and write consent requests","497d9dfa-3bd1-481a-baab-90895e54568c","True","Admin","Allows the app to read app consent requests for your approval, and deny or approve those request on your behalf.","Read and write consent requests","ConsentRequest.ReadWrite.All"
"Allows the app to read and write your organization's consent requests policy on behalf of the signed-in user.","Read and write consent request policy","4d135e65-66b8-41a8-9f8b-081452c91774","True","Admin","Allows the app to read and write your organization's consent request policy on your behalf.","Read and write consent request policy","Policy.ReadWrite.ConsentRequest"
"Allows the app to read presence information on behalf of the signed-in user. Presence information includes activity, availability, status note, calendar out-of-office message, timezone and location.","Read user's presence information","76bc735e-aecd-4a1d-8b4c-2b915deabb79","True","User","Allows the app to read your presence information on your behalf. Presence information includes activity, availability, status note, calendar out-of-office message, timezone and location.","Read your presence information","Presence.Read"
"Allows the app to read presence information of all users in the directory on behalf of the signed-in user. Presence information includes activity, availability, status note, calendar out-of-office message, timezone and location.","Read presence information of all users in your organization","9c7a330d-35b3-4aa1-963d-cb2b9f927841","True","User","Allows the app to read presence information of all users in the directory on your behalf. Presence information includes activity, availability, status note, calendar out-of-office message, timezone and location.","Read presence information of all users in your organization","Presence.Read.All"
"Read the members of channels, on behalf of the signed-in user.","Read the members of channels","2eadaff8-0bce-4198-a6b9-2cfc35a30075","True","Admin","Read the members of channels, on your behalf.","Read the members of teams and channels","ChannelMember.Read.All"
"Add and remove members from channels, on behalf of the signed-in user. Also allows changing a member's role, for example from owner to non-owner.","Add and remove members from channels","0c3e411a-ce45-4cd1-8f30-f99a3efa7b11","True","Admin","Add and remove members from channels, on your behalf. Also allows changing a member's role, for example from owner to non-owner.","Add and remove members from teams and channels","ChannelMember.ReadWrite.All"
"Allows the app to read and write the authentication flow policies, on behalf of the signed-in user. ","Read and write authentication flow policies","edb72de9-4252-4d03-a925-451deef99db7","True","Admin","Allows the app to read and write the authentication flow policies for your tenant, on your behalf.","Read and write your authentication flow policies","Policy.ReadWrite.AuthenticationFlows"
"Allows an app to read a channel's messages in Microsoft Teams, on behalf of the signed-in user.","Read user channel messages","767156cb-16ae-4d10-8f8b-41b657c8c8c8","True","Admin","Allows the app to read a channel's messages in Microsoft Teams, on your behalf.","Read your channel messages","ChannelMessage.Read.All"
"Allows the app to read the apps in the app catalogs.","Read all app catalogs","88e58d74-d3df-44f3-ad47-e89edf4472e4","True","User","Allows the app to read apps in the app catalogs.","Read all app catalogs","AppCatalog.Read.All"
"Allows the app to read and write the authentication method policies, on behalf of the signed-in user.?","Read and write authentication method policies","7e823077-d88e-468f-a337-e18f1f0e6c7c","True","Admin","Allows the app to read and write the authentication method policies for your tenant, on your behalf.","Read and write your authentication method policies ","Policy.ReadWrite.AuthenticationMethod"
"Allows the app to read and write your organization's authorization policy on behalf of the signed-in user.  For example, authorization policies can control some of the permissions that the out-of-the-box user role has by default.","Read and write your organization's authorization policy","edd3c878-b384-41fd-95ad-e7407dd775be","True","Admin","Allows the app to read and write your organization's authorization policy on your behalf. For example, authorization policies can control some of the permissions that the out-of-the-box user role has by default.","Read and write your organization's authorization policy","Policy.ReadWrite.Authorization"
"Allows the app to read policies related to consent and permission grants for applications, on behalf of the signed-in user.","Read consent and permission grant policies","414de6ea-2d92-462f-b120-6e2a809a6d01","True","Admin","Allows the app to read policies related to consent and permission grants for applications, on your behalf.","Read consent and permission grant policies","Policy.Read.PermissionGrant"
"Allows the app to manage policies related to consent and permission grants for applications, on behalf of the signed-in user.","Manage consent and permission grant policies","2672f8bb-fd5e-42e0-85e1-ec764dd2614e","True","Admin","Allows the app to manage policies related to consent and permission grants for applications, on behalf of the signed-in user.","Manage consent and permission grant policies","Policy.ReadWrite.PermissionGrant"
"Allows the application to create (register) printers on behalf of the signed-in user.?","Register printers??","90c30bed-6fd1-4279-bf39-714069619721","True","Admin","Allows the application to create (register) printers on your behalf.?","Register printers??","Printer.Create"
"Allows the application to create (register), read, update, and delete (unregister) printers on behalf of the signed-in user.?","Register, read, update, and unregister printers","93dae4bd-43a1-4a23-9a1a-92957e1d9121","True","Admin","Allows the application to create (register), read, update, and delete (unregister) printers on your behalf.??","Register, read, update, and unregister printers","Printer.FullControl.All"
"Allows the application to read printers on behalf of the signed-in user.?","Read printers","3a736c8a-018e-460a-b60c-863b2683e8bf","True","Admin","Allows the application to read printers on your behalf.?","Read printers","Printer.Read.All"
"Allows the application to read and update printers on behalf of the signed-in user.?Does not allow creating (registering) or deleting (unregistering) printers.","Read and update printers","89f66824-725f-4b8f-928e-e1c5258dc565","True","Admin","Allows the application to read and update printers on your behalf.?Does not allow creating (registering) or deleting (unregistering) printers.","Read and update printers","Printer.ReadWrite.All"
"Allows the application to read printer shares on behalf of the signed-in user.?","Read printer shares","ed11134d-2f3f-440d-a2e1-411efada2502","True","User","Allows the application to read printer shares on your behalf.?","Read printer shares","PrinterShare.Read.All"
"Allows the application to read and update printer shares on behalf of the signed-in user.?","Read and write printer shares","06ceea37-85e2-40d7-bec3-91337a46038f","True","Admin","Allows the application to read and update printer shares on your behalf.?","Read and update printer shares","PrinterShare.ReadWrite.All"
"Allows the application to read the metadata and document content of print jobs that the signed-in user created.","Read user's print jobs","248f5528-65c0-4c88-8326-876c7236df5e","True","User","Allows the application to read the metadata and document content of print jobs that you created.","Read your print jobs","PrintJob.Read"
"Allows the application to read the metadata and document content of print jobs on behalf of the signed-in user.?","Read print jobs","afdd6933-a0d8-40f7-bd1a-b5d778e8624b","True","Admin","Allows the application to read the metadata and document content of print jobs on your behalf.?","Read print jobs","PrintJob.Read.All"
"Allows the application to read the metadata of print jobs that the signed-in user created. Does not allow access to print job document content.","Read basic information of user's print jobs","6a71a747-280f-4670-9ca0-a9cbf882b274","True","User","Allows the application to read the metadata of print jobs that you created. Does not allow access to print job document content.","Read basic information of your print jobs","PrintJob.ReadBasic"
"Allows the application to read the metadata of print jobs on behalf of the signed-in user.?Does not allow access to print job document content.","Read basic information of print jobs","04ce8d60-72ce-4867-85cf-6d82f36922f3","True","Admin","Allows the application to read the metadata of print jobs on your behalf.?Does not allow access to print job document content.","Read basic information of print jobs","PrintJob.ReadBasic.All"
"Allows the application to read and update the metadata and document content of print jobs that the signed-in user created.","Read and write user's print jobs","b81dd597-8abb-4b3f-a07a-820b0316ed04","True","User","Allows the application to read and update the metadata and document content of print jobs that you created.","Read and update your print jobs","PrintJob.ReadWrite"
"Allows the application to read and update the metadata and document content of print jobs on behalf of the signed-in user.?","Read and write print jobs","036b9544-e8c5-46ef-900a-0646cc42b271","True","Admin","Allows the application to read and update the metadata and document content of print jobs on your behalf.?","Read and update print jobs","PrintJob.ReadWrite.All"
"Allows the application to read and update the metadata of print jobs that the signed-in user created. Does not allow access to print job document content.","Read and write basic information of user's print jobs","6f2d22f2-1cb6-412c-a17c-3336817eaa82","True","User","Allows the application to read and update the metadata of print jobs that you created. Does not allow access to print job document content.","Read and write basic information of your print jobs","PrintJob.ReadWriteBasic"
"Allows the application to read and update the metadata of print jobs on behalf of the signed-in user.?Does not allow access to print job document content.","Read and write basic information of print jobs","3a0db2f6-0d2a-4c19-971b-49109b19ad3d","True","Admin","Allows the application to read and update the metadata of print jobs on your behalf.?Does not allow access to print job document content.","Read and write basic information of print jobs","PrintJob.ReadWriteBasic.All"
"Allows the app to read and write your organization's device configuration policies on behalf of the signed-in user.  For example, device registration policy can limit initial provisioning controls using quota restrictions, additional authentication and authorization checks.","Read and write your organization's device configuration policies","40b534c3-9552-4550-901b-23879c90bcf9","True","Admin","Allows the app to read and write your organization's device configuration policies on your behalf.  For example, device registration policy can limit initial provisioning controls using quota restrictions, additional authentication and authorization checks.","Read and write your organization's device configuration policies","Policy.ReadWrite.DeviceConfiguration"
"Allows the app to submit application packages to the catalog and cancel submissions that are pending review on behalf of the signed-in user.","Submit application packages to the catalog and cancel pending submissions","3db89e36-7fa6-4012-b281-85f3d9d9fd2e","True","User","Allows the app to submit application packages to the catalog and cancel submissions that are pending review on your behalf.","Submit application packages to your organization's catalog and cancel pending submissions","AppCatalog.Submit"
"Allows the app to read the Teams apps that are installed in chats the signed-in user can access. Does not give the ability to read application-specific settings.","Read installed Teams apps in chats","bf3fbf03-f35f-4e93-963e-47e4d874c37a","True","User","Allows the app to read the Teams apps that are installed in chats that you can access. Does not give the ability to read application-specific settings.","Read installed Teams apps in chats","TeamsAppInstallation.ReadForChat"
"Allows the app to read the Teams apps that are installed in teams the signed-in user can access. Does not give the ability to read application-specific settings.","Read installed Teams apps in teams","5248dcb1-f83b-4ec3-9f4d-a4428a961a72","True","Admin","Allows the app to read the Teams apps that are installed in teams that you can access. Does not give the ability to read application-specific settings.","Read installed Teams apps in teams","TeamsAppInstallation.ReadForTeam"
"Allows the app to read the Teams apps that are installed for the signed-in user. Does not give the ability to read application-specific settings.","Read user's installed Teams apps","c395395c-ff9a-4dba-bc1f-8372ba9dca84","True","User","Allows the app to read the Teams apps that are installed for you. Does not give the ability to read application-specific settings.","Read your installed Teams apps","TeamsAppInstallation.ReadForUser"
"Allows the app to read, install, upgrade, and uninstall Teams apps in teams the signed-in user can access. Does not give the ability to read application-specific settings.","Manage installed Teams apps in teams","2e25a044-2580-450d-8859-42eeb6e996c0","True","Admin","Allows the app to read, install, upgrade, and uninstall Teams apps in teams you can access. Does not give the ability to read application-specific settings.","Manage installed Teams apps in teams","TeamsAppInstallation.ReadWriteForTeam"
"Allows a Teams app to read, install, upgrade, and uninstall itself in chats the signed-in user can access.","Allow the Teams app to manage itself in chats","0ce33576-30e8-43b7-99e5-62f8569a4002","True","Admin","Allows a Teams app to read, install, upgrade, and uninstall itself in chats you can access.","Allow the Teams app to manage itself in chats","TeamsAppInstallation.ReadWriteSelfForChat"
